folder,original_file,preview_path,orig_w,orig_h,orientation,orig_kb,preview_kb
_brand,01c3aff52f2a4dffa526d7a9843d46ea.png,_brand/01c3aff52f2a4dffa526d7a9843d46ea.png,200,200,square,21,4
_brand,11062b_362ef89dec51403eb0ee59a21bde967c_mv2.png,_brand/11062b_362ef89dec51403eb0ee59a21bde967c_mv2.png,201,200,square,3,2
_brand,83bafb_1245e5d9ba0d408f8396e6c24f4ddc2f_mv2.jpg,_brand/83bafb_1245e5d9ba0d408f8396e6c24f4ddc2f_mv2.jpg,6000,4000,landscape,2718,297
_brand,83bafb_9f27d041d4e1457894698553696451a0_mv2.png,_brand/83bafb_9f27d041d4e1457894698553696451a0_mv2.png,3508,2480,landscape,363,101
events/2014-orioles-game-night,83bafb_311cf5f6e5f849909aa7ab0b74c4a089_mv2.jpg,events/2014-orioles-game-night/83bafb_311cf5f6e5f849909aa7ab0b74c4a089_mv2.jpg,679,1070,portrait,84,72
events/2014-orioles-game-night,83bafb_4e27564f6f744bfdbee007169f1b199a_mv2.jpg,events/2014-orioles-game-night/83bafb_4e27564f6f744bfdbee007169f1b199a_mv2.jpg,4128,2322,landscape,976,172
events/2014-orioles-game-night,83bafb_4ee4fe88b14d43eea278bb4a45b0097c_mv2.jpg,events/2014-orioles-game-night/83bafb_4ee4fe88b14d43eea278bb4a45b0097c_mv2.jpg,579,638,square,52,44
events/2014-orioles-game-night,83bafb_6cfc7204101c41ea9deb54aafcd02453_mv2.jpg,events/2014-orioles-game-night/83bafb_6cfc7204101c41ea9deb54aafcd02453_mv2.jpg,650,1032,portrait,89,77
events/2014-orioles-game-night,83bafb_ef57a8b1e17f4e0aaff1ed6ba9c3fac5_mv2.jpg,events/2014-orioles-game-night/83bafb_ef57a8b1e17f4e0aaff1ed6ba9c3fac5_mv2.jpg,4128,2322,landscape,1119,213
events/2014-orioles-game-night,83bafb_fa09035fa15844d1893b22a0ac5cd2b4_mv2.jpg,events/2014-orioles-game-night/83bafb_fa09035fa15844d1893b22a0ac5cd2b4_mv2.jpg,4128,2322,landscape,495,125
events/2014-orioles-game-night,83bafb_fec88073da984b3791e57e28aff59e40_mv2.jpg,events/2014-orioles-game-night/83bafb_fec88073da984b3791e57e28aff59e40_mv2.jpg,2691,1028,landscape,278,130
events/2017-ocean-city,83bafb_54869f09200b41c6beb4317f9eaddda6_mv2.jpg,events/2017-ocean-city/83bafb_54869f09200b41c6beb4317f9eaddda6_mv2.jpg,4032,3024,landscape,1225,162
